Frequency (Hz),Channel 1 (dB),Channel 2 (dB),Channel 2 (deg)
1,0.060602892940078201,-69.994223283479101,-0.62678135960503312
6.0008001600320062,0.060591807590741419,-70.385986934951859,-8.8573305563938192
11.001600320064012,0.060491914264537996,-70.105091904503951,-12.069815359641417
16.002400480096021,0.06025728275984725,-69.881572248180788,-16.938933247263247
21.003200640128025,0.060472896998817763,-70.283971214068515,-21.810403800975322
26.004000800160032,0.060025153753974977,-69.862695123605064,-29.465014579208091
31.004800960192039,0.060247906644532417,-70.658390701178106,-36.26205887466169
36.005601120224043,0.060166784844719524,-70.529891679111628,-42.937004818956467
41.00640128025605,0.060160321650356667,-70.278943384417857,-46.200841581507483
46.007201440288057,0.060455466940872074,-70.442227341391074,-56.755819120149205
51.008001600320064,0.060436538302896275,-71.178974108787742,-56.118351673850384
56.008801760352071,0.060231580678433982,-70.823145933719886,-65.908730168134298
61.009601920384078,0.06037447881116164,-70.746865895029956,-71.991281979013905
66.010402080416085,0.060390189757696236,-71.03899154460548,-78.54440136463198
71.011202240448085,0.06016405699047106,-70.897822926000899,-83.852957596456463
76.0120024004801,0.059950475190344847,-71.972720969130918,-91.65499257061208
81.0128025605121,0.060365555673685539,-72.250865212832579,-104.52636205820181
86.013602720544114,0.060315699067913293,-72.064318859331834,-107.43140814518841
91.014402880576114,0.060425587278440107,-72.890565666863282,-117.49287012760317
96.015203040608128,0.06012853097734646,-73.381741628899249,-119.64429443986941
101.01600320064013,0.060038516267859415,-71.95042177529541,-130.13586723618948
106.01680336067213,0.060188838518862184,-73.205406823802747,-143.06176680732514
111.01760352070414,0.059970135508691728,-73.892881341103646,-145.33631913345582
116.01840368073614,0.060253270019022531,-73.839660546739879,-170.71545386549224
121.01920384076816,0.060090602379775412,-73.244645086576043,-158.33050934965681
126.02000400080016,0.060256651540352729,-74.035303346529574,174.32209480457709
131.02080416083217,0.060095073039242913,-72.663193559568441,172.13595430105505
136.02160432086418,0.060220239194176184,-73.078927396853913,163.39739212696594
141.02240448089617,0.060181643221562567,-74.415036197858399,163.10134637576544
146.02320464092818,0.060105216003796091,-73.921693108548311,146.24526586277261
151.0240048009602,0.060103236733088587,-73.196419235494702,138.99099569363466
156.02480496099218,0.060355894654352982,-73.03798001102642,127.62153706048423
161.0256051210242,0.059916640826755116,-71.769735113861429,121.57651115328389
166.02640528105621,0.059815102717891207,-72.062289826905882,114.64331172692215
171.02720544108823,0.059984793023175872,-71.72077612202564,107.37406115119259
176.02800560112021,0.060021894609368548,-73.012477686073836,94.077107551585044
181.02880576115223,0.060195972600124423,-71.286979720562826,90.303754678342031
186.02960592118424,0.060090926417654053,-71.41197450648751,88.562456716068311
191.03040608121626,0.060007543288375063,-71.541131374384236,82.076989175813694
196.03120624124824,0.059954586655326172,-70.857291688551655,67.63104006889796
201.03200640128026,0.059630501177298956,-71.654302925313942,67.532434765952402
206.03280656131227,0.060175923299404743,-70.412639525472827,57.554317006287569
211.03360672134426,0.059647060971387611,-71.031565102556698,58.720360127176662
216.03440688137627,0.059639994152592024,-70.231363503242775,45.813317237420925
